,Unnamed: 0,Unnamed: 0.1,Status,CRN,Type,Section,Time,Days,Location,Instructor,Course Number,Course Name,Number of Credits,geneds,loc,year,term,dept,YearTerm,Year,Term,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,GPA,size
9579,923219,923219,UNKNOWN,63422.0,Online,OL1,ARRANGED -,,,"Sapozhnikov, A",DANC 100,Intro to Contemporary Dance,3,"['WCC', 'HA']",data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/DANC/100.html,2021,spring,DANC,2021-sp,2021.0,Spring,DANC,100.0,Intro to Contemporary Dance,ONL,39.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sapozhnikov, Anna",3.987,50.0
34043,947683,947683,UNKNOWN,51374.0,Online Lecture,A,05:00 PM - 06:30 PM,R,,"Harbourt, C",TE 360,Lectures in Engineering Entrepreneurship,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/TE/360.html,2021,spring,TE,2021-sp,2021.0,Spring,TE,360.0,Lect in Engrg Entrepreneurship,OLC,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Harbourt, Christopher M",3.986,48.0
29130,942770,942770,UNKNOWN,59219.0,Online,A,06:00 PM - 08:00 PM,W,,"Coder, EHerrera, L",EPS 533,Global Youth and Citizenship,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/EPS/533.html,2021,spring,EPS,2021-sp,2021.0,Spring,EPS,533.0,Global Youth and Citizenship,ONL,4.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Herrera, Linda",3.986,47.0
34609,948249,948249,Registration Notes: Restricted to Information Management major(s). Restricted to Graduate - Urbana-Champaign.Section Info: Required core course for MS/IM students. Graduate student questions may be sent to ischool-advising@illinois.edu,,,,,,,,IS 507,"Data, Statistical Models and Information",4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/IS/507.html,2021,spring,IS,2021-sp,2021.0,Spring,IS,507.0,"Data, Stat, Info",ONL,38.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Besser, Stephanie A",3.985,44.0
34538,948178,948178,UNKNOWN,73185.0,Online,DO,07:00 PM - 08:55 PM,W,,"MacMullen, T",IS 505,Information Organization and Access,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/IS/505.html,2021,spring,IS,2021-sp,2021.0,Spring,IS,505.0,Info Org and Access,ONL,27.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Choi, Inkyung",3.979,32.0
683,914323,914323,UNKNOWN,62664.0,Online,C,05:00 PM - 06:20 PM,MW,,"Peacock, M",ADV 350,Writing for Public Relations,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ADV/350.html,2021,spring,ADV,2021-sp,2021.0,Spring,ADV,350.0,Writing for Public Relations,ONL,21.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Peacock, Marisa C",3.978,30.0
8716,922356,922356,Registration Notes: Restricted to Gies College of Business. Restricted to students with Sophomore or Junior class standing.Restriction(s): Not intended for Nondegree major(s) or minor(s).,,,,,,,,BUS 201,Business Dynamics,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BUS/201.html,2021,spring,BUS,2021-sp,2021.0,Spring,BUS,201.0,Business Dynamics,ONL,3.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Luckman, Elizabeth",3.975,53.0
19054,932694,932694,"Registration Notes: Restricted to Accountancy or Finance or General Engineering or Industrial Engineering or Marketing or Information Sys & Info Tech or Supply Chain Management or Business Process Management or Management or Systems Engineering and Design or Information Systems or Operations Management or STR BUS DEV & Entrepreneurship major(s) or minor(s). Restricted to students with Junior or Senior class standing.Section Info: This course will open to all students in the Gies College of Business on Monday, December 7, 2020 at approximately 10:00 a.m.  This course will open to Industrial & Enterprise Systems Engineering, General Engineering and Systems Engineering & Design students on Monday, December 14, 2020 at approximately 10:00 a.m.  BUSINESS MINOR/PROSPECTIVE BUSINESS MINOR STUDENTS: This section will not open to you since all students are required to take the online option, if offered, as stated on the Business Minor website. BADM 375 is offered online in the summer and winter terms. No exceptions will be made.  This is an elective course for undergraduate students pursuing the business minor.  Students are required to log in and use Compass2g (compass2g.illinois.edu) in order to complete this course.",,,,,,,,BADM 375,Operations Management,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/375.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,375.0,Operations Management,ONL,32.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Liang, Hongyan",3.974,39.0
17211,930851,930851,UNKNOWN,39995.0,Online Lab,AB1,01:00 PM - 02:50 PM,F,,"Grift, T",ABE 425,Engrg Measurement Systems,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ABE/425.html,2021,spring,ABE,2021-sp,2021.0,Spring,ABE,425.0,Engrg Measurement Systems,OLC,11.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Grift, Tony E",3.974,38.0
13944,927584,927584,Credit: 2 hoursSection Info: THIS SECTION IS FOR KINESIOLOGY AND MUSIC.Restriction(s): Restricted to Admitted Teacher Ed Student students.,,,,,,,,CI 473,Disciplinary Literacy,0,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CI/473.html,2021,spring,CI,2021-sp,2021.0,Spring,CI,473.0,Disciplinary Literacy,OLC,0.0,106.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Filkins, Scott R",3.973,109.0
30212,943852,943852,UNKNOWN,62439.0,Online,OL4,02:00 PM - 03:20 PM,TR,,"Fahnestock, L",CEE 462,Steel Structures II,3;4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CEE/462.html,2021,spring,CEE,2021-sp,2021.0,Spring,CEE,462.0,Steel Structures II,ONL,31.0,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fahnestock, Larry A",3.971,58.0
10454,924094,924094,,,,,,,,,MUSC 465,Men's Glee Club,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/MUSC/465.html,2021,spring,MUSC,2021-sp,2021.0,Spring,MUSC,465.0,Men's Glee Club,PR,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coleman, Barrington L",3.97,33.0
19315,932955,932955,UNKNOWN,10402.0,Independent Study,,ARRANGED -,,,,BADM 590,Seminar in Business Admin,0,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/590.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,590.0,Operations Analysis,ONL,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Liang, Hongyan",3.97,22.0
19075,932715,932715,UNKNOWN,65217.0,Online,A,12:30 PM - 01:50 PM,MW,,"Shaw, M",BADM 571,Digital Business & IT Strategy,2,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/571.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,571.0,Digital Business & IT Strategy,ONL,17.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Shaw, Michael J",3.97,44.0
687,914327,914327,UNKNOWN,68732.0,Online,A,01:00 PM - 02:20 PM,TR,,"Kasdan, T",ADV 409,Media Entrepreneurship,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ADV/409.html,2021,spring,ADV,2021-sp,2021.0,Spring,ADV,409.0,Media Entrepreneurship,ONL,5.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kasdan, Terry P",3.97,22.0
29261,942901,942901,UNKNOWN,71549.0,Online Discussion,AD8,09:00 AM - 09:50 AM,W,,"Neis, J",CLCV 224,American Race and Ethnicity in the Classical Tradition,3,"['USMC', 'HA']",data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CLCV/224.html,2021,spring,CLCV,2021-sp,2021.0,Spring,CLCV,224.0,Amer Race&Ethnicity ClasicTrad,OD,6.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Scheele, Genevieve V",3.969,32.0
29055,942695,942695,UNKNOWN,64318.0,Online,A,05:30 PM - 07:30 PM,M,,"Cope, WMattingly, STzirides, A",EPS 535,Assessment for Learning,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/EPS/535.html,2021,spring,EPS,2021-sp,2021.0,Spring,EPS,535.0,Assessment for Learning,ONL,61.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cope, William",3.969,74.0
17117,930757,930757,"Credit: 3 hoursRegistration Notes: Restricted to Undergrad - Urbana-Champaign.Section Info: This section enrolls undergraduate students only, this term. This course will be entirely asynchronous except for optional synchronous meetings (Thursdays 2-3:20pm) that will be recorded for students to watch at their convenience.",,,,,,,,CMN 432,Gender Communication,3;4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CMN/432.html,2021,spring,CMN,2021-sp,2021.0,Spring,CMN,432.0,Gender Communication,ONL,14.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Huff, Billy",3.969,32.0
13988,927628,927628,UNKNOWN,63324.0,Online,C1,09:00 AM - 11:50 AM,W,,"Brown-Tess, K",CI 432,Investigative Approach to Elementary Mathematics Instruction,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CI/432.html,2021,spring,CI,2021-sp,2021.0,Spring,CI,432.0,Invest Approach Elem Math Inst,ONL,12.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Poetzel, Adam R",3.967,30.0
32175,945815,945815,"Credit: 4 hoursSection Title: Advanced Bayesian ModelingSection Info: This course is only for students that are in the Computer Science Online MCS Program. ProctorU fees may apply.  Restricted to Graduate - Urbana-Champaign. Restricted to MCS:Computer Sci Online -UIUC, MCS:Computer Sci Online -UIUC, or NDEG:Computer Science Onl-UIUC.Restriction(s): Restricted to MCS:Computer Sci Online -UIUC, MCS:Computer Sci Online -UIUC, or NDEG:Computer Science Onl-UIUC.",,,,,,,,CS 598,Special Topics,2,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CS/598.html,2021,spring,CS,2021-sp,2021.0,Spring,CS,598.0,HCI for ML,ONL,6.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kumar, Ranjitha",3.966,29.0
29041,942681,942681,UNKNOWN,62826.0,Online,A,07:00 PM - 09:00 PM,T,,"Herman, TKourkoulou, T",EPS 529,Education and Human Rights,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/EPS/529.html,2021,spring,EPS,2021-sp,2021.0,Spring,EPS,529.0,Education and Human Rights,ONL,17.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Herman, Thaddeus B",3.966,29.0
199,913839,913839,UNKNOWN,29920.0,Laboratory,AL1,03:00 PM - 04:50 PM,R,ARR South Farms,"Emmert, JMcCann, JParsons, C",ANSC 103,Working With Farm Animals,2,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ANSC/103.html,2021,spring,ANSC,2021-sp,2021.0,Spring,ANSC,103.0,Working With Farm Animals,ONL,0.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsons, Carl M",3.966,58.0
26791,940431,940431,Credit: 4 hoursRegistration Notes: Restricted to Graduate - Urbana-Champaign.,,,,,,,,ECE 515,Control System Theory & Design,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ECE/515.html,2021,spring,ECE,2021-sp,2021.0,Spring,ECE,515.0,Control System Theory & Design,OD,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mehta, Prashant G",3.965,38.0
34881,948521,948521,UNKNOWN,65138.0,Lecture-Discussion,A,04:00 PM - 06:50 PM,R,1030 Music Building,"Allen, BCamacho, PChiaramonte, LPark, M",FAA 202,Artsful Teaching through Integ,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/FAA/202.html,2021,spring,FAA,2021-sp,2021.0,Spring,FAA,202.0,Artsful Teaching through Integ,LCD,25.0,50.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Allen, Betty J",3.964,82.0
29081,942721,942721,"Section Title: Diversity and PedagogyDate Range: Meets 22-Mar-21 - 05-May-21.Section Info: This seminar is designed to provide historical knowledge and understanding about underlying systems of racial inequity as well as the enduring effects of inequity in education today. We will explore how the concepts of culturally relevant pedagogy, diversity, inclusivity, multiculturalism, and social and emotional trauma emerged in education literature. Of special import, is how these concepts inform literacy: assessment, practice, and research. Independently, students will address a specific concern of educational inequity as part of a culminating final project.Restriction(s): Restricted to EDD:Ed Pol Org &Ldshp Onl-UIUC, EDM: Curr & Inst Online - UIUC, NDEG: Curr & Inst OnLine -UIUC, EDM:Ed Pol Org&Ldrshp Onl-UIUC, NDEG:Ed Pol Org&LdrshpOnl-UIUC, or EDM:Ed Pol Org&Ldrshp Onl-UIUC.",,,,,,,,EPS 590,Advanced Graduate Seminar,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/EPS/590.html,2021,spring,EPS,2021-sp,2021.0,Spring,EPS,590.0,Survey Methods,ONL,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lindgren, Samantha A",3.963,27.0
24172,937812,937812,UNKNOWN,49006.0,Online Lecture,A,02:00 PM - 03:20 PM,TR,,"Whitaker, R",MCB 435,Evolution of Infectious Disease,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/MCB/435.html,2021,spring,MCB,2021-sp,2021.0,Spring,MCB,435.0,Evolution of InfectiousDisease,OLC,39.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Whitaker, Rachel",3.963,45.0
17399,931039,931039,UNKNOWN,43836.0,Online,A,01:00 PM - 03:50 PM,M,,"Liechty, J",SOCW 553,Integrated Behavorial Health & Health Care,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/SOCW/553.html,2021,spring,SOCW,2021-sp,2021.0,Spring,SOCW,553.0,Integrated Behav. Health & HC,ONL,13.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Liechty, Janet M",3.96,25.0
33738,947378,947378,UNKNOWN,33048.0,Online,ADM,09:00 AM - 10:20 AM,TR,,"Chapman-Novakofski, KKarduck, J",FSHN 595,Advanced Topics in Food Science and Human Nutrition,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/FSHN/595.html,2021,spring,FSHN,2021-sp,2021.0,Spring,FSHN,595.0,Water Relations in Foods,OLC,11.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Schmidt, Shelly J",3.96,42.0
24245,937885,937885,,,,,,,,,MCB 151,Molec & Cellular Laboratory,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/MCB/151.html,2021,spring,MCB,2021-sp,2021.0,Spring,MCB,151.0,Molec & Cellular Laboratory,OLB,17.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Reedy, Melissa M",3.958,24.0
1291,914931,914931,Section Info: Students must meet the prerequisite requirements for this course (found in the Catalog Entry) or will be told to drop on the first day of classes.  Non-registered students are not allowed to sit in or audit. Students are required to log in and use Compass2g (compass2g.illinois.edu) in order to complete this course.,,,,,,,,SPAN 307,Bilingualism,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/SPAN/307.html,2021,spring,SPAN,2021-sp,2021.0,Spring,SPAN,307.0,Bilingualism,OLC,9.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Delgado, Rodrigo",3.958,24.0
19294,932934,932934,"Registration Notes: Restricted to Accountancy or Finance or Marketing or Information Sys & Info Tech or Supply Chain Management or Management or Informatics or STR BUS DEV & Entrepreneurship or Business Process Management or Information Systems or Operations Management major(s) or minor(s). Restricted to students with Junior or Senior class standing.Section Info: This course will open to all students in the Gies College of Business on Monday, December 7, 2020 and to Informatics Minors on Monday, December 14, 2020 at approximately 10:00 a.m.  Students are required to log in and use Compass2g (compass2g.illinois.edu) in order to complete this course.",,,,,,,,BADM 453,Business Intelligence,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/453.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,453.0,Business Intelligence,ONL,0.0,57.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Han, Wencui",3.958,63.0
12022,925662,925662,,,,,,,,,MACS 260,Film Production,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/MACS/260.html,2021,spring,MACS,2021-sp,2021.0,Spring,MACS,260.0,Film Production,OLC,9.0,34.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Font Bas, Victor",3.957,46.0
10097,923737,923737,Date Range: Meets 25-Jan-21 - 19-Mar-21.Registration Notes: Restricted to students with Senior or Graduate class standing.,,,,,,,,LEAD 470,Leading Professional Organizations and Communities,2,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/LEAD/470.html,2021,spring,LEAD,2021-sp,2021.0,Spring,LEAD,470.0,Leading Prof Orgs & Comm,ONL,19.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Smist, Jennifer A",3.957,23.0
18405,932045,932045,Registration Notes: Restricted to Graduate - Urbana-Champaign.,,,,,,,,PHYS 560,Condensed Matter Physics I,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/PHYS/560.html,2021,spring,PHYS,2021-sp,2021.0,Spring,PHYS,560.0,Condensed Matter Physics I,OLC,12.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hughes, Taylor L",3.957,31.0
1562,915202,915202,UNKNOWN,31511.0,Online,G2,03:30 PM - 04:45 PM,MW,,"Hapke, G",BTW 250,Principles Bus Comm,3,['AC'],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BTW/250.html,2021,spring,BTW,2021-sp,2021.0,Spring,BTW,250.0,Principles Bus Comm,ONL,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Claborn, John P",3.955,22.0
1065,914705,914705,UNKNOWN,70311.0,Online,F,02:00 PM - 03:50 PM,W,,"Stevens, A",ENGL 117,Shakespeare on Film,3,['HA'],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ENGL/117.html,2021,spring,ENGL,2021-sp,2021.0,Spring,ENGL,117.0,Shakespeare on Film,ONL,6.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stevens, Andrea",3.954,29.0
19637,933277,933277,UNKNOWN,31046.0,Lecture-Discussion,A,03:30 PM - 04:50 PM,MW,2007 Business Instructional Fac,"Li, Y",BADM 312,Designing and Managing Orgs,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/312.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,312.0,Designing and Managing Orgs,LCD,6.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Li, Ying",3.954,36.0
4526,918166,918166,UNKNOWN,49467.0,Lecture-Discussion,PH4,02:00 PM - 03:20 PM,TR,209 Huff Hall,"Thornton, R",ECON 590,Individual Study and Research,0,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ECON/590.html,2021,spring,ECON,2021-sp,2021.0,Spring,ECON,590.0,Advanced Student Seminar,ONL,0.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bernhardt, Mark D",3.953,35.0
1182,914822,914822,UNKNOWN,64869.0,Online Lecture,G,03:00 PM - 03:50 PM,MWF,,"Bandin, Y",SPAN 308,Spanish in the United States,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/SPAN/308.html,2021,spring,SPAN,2021-sp,2021.0,Spring,SPAN,308.0,Spanish in the United States,OLC,8.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Delgado, Rodrigo",3.952,21.0
33830,947470,947470,,,Online Lecture,BNM,ARRANGED -,,,"Lee, Y",FSHN 482,Food Processing Unit Operations I Lab,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/FSHN/482.html,2021,spring,FSHN,2021-sp,2021.0,Spring,FSHN,482.0,Food Processing Unit Ops I Lab,OLC,5.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lee, Youngsoo",3.952,21.0
30071,943711,943711,"Registration Notes: Restricted to Graduate - Urbana-Champaign.Section Info: Restricted to online non-degree, online MSCE, online MSEE, online MCS, online MSAE, online MSME, online MSIE, online ME, and online MEng students. Center for Innovation in Teaching & Learning (CITL) restrictions and assessments apply, see http://www.citl.illinois.edu. For more details on this course section, please see http://engineering.illinois.edu/online/courses/. Non-Degree students may enroll on a space-available basis with consent of Program Coordinator, Meg Griffin (mgriffin@illinois.edu).",,,,,,,,CEE 572,Earthquake Engineering,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CEE/572.html,2021,spring,CEE,2021-sp,2021.0,Spring,CEE,572.0,Earthquake Engineering,ONL,4.0,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Elbanna, Ahmed",3.951,34.0
20052,933692,933692,Registration Notes: Restricted to Gies College of Business. Not intended for Nondegree major(s) or minor(s). Restricted to students with Sophomore or Junior class standing.Section Info: Students are required to log in and use Compass2g (compass2g.illinois.edu) in order to complete this course.,,,,,,,,BADM 275,Fundamentals of Operations Management,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/275.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,275.0,Operations Management,ONL,22.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kwon, Hyok-Jon D",3.95,40.0
18765,932405,932405,UNKNOWN,31181.0,Online,E,03:30 PM - 04:50 PM,TR,,"Inoue, C",BADM 449,Business Policy and Strategy,3,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/BADM/449.html,2021,spring,BADM,2021-sp,2021.0,Spring,BADM,449.0,Business Policy and Strategy,ONL,14.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sakhartov, Arkadiy V",3.948,38.0
25276,938916,938916,"Credit: 2 hoursSection Info: For first-time students.  A  seminar course for Chemistry, Chemical Engineering, Biochemistry and MCB  majors. The goal is to strengthen the link between science curricula and students’  interests and individual needs, through: 1) using students' interests as the starting and focal points to guide the content of the course, 2) creating a supportive and communicative learning environment using peer mentoring and the structure of a scientific research group as cornerstones in the curricular design, and 3) emphasizing the individual experiences and anticipating needs of the students while encouraging students to engage in authentic scientific research as undergraduates. The Chemistry course is delivered through a series of programs and activities, including skill lectures on scientific literature and research, peer mentoring, small group meetings, literature reviews, special topics discussions on science and public policy, technical writing seminars, and research investigation.",,,,,,,,CHEM 199,Undergraduate Open Seminar,0,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/CHEM/199.html,2021,spring,CHEM,2021-sp,2021.0,Spring,CHEM,199.0,Undergraduate Open Seminar,DIS,43.0,300.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,"McCarren, Elise M",3.947,360.0
2413,916053,916053,UNKNOWN,60024.0,Online Lecture,AL1,ARRANGED -,,,"Johnson, L",GER 251,Grimm's Fairy Tales in Context,3,"['WCC', 'HA']",data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/GER/251.html,2021,spring,GER,2021-sp,2021.0,Spring,GER,251.0,Grimm's Fairy Tales in Context,OD,5.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Guo, Lujun",3.946,31.0
15418,929058,929058,,,,,,,,,ME 483,Mechanobiology,4,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ME/483.html,2021,spring,ME,2021-sp,2021.0,Spring,ME,483.0,Mechanobiology,OLC,10.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wang, Ning",3.946,31.0
3170,916810,916810,UNKNOWN,70808.0,Online,JPM,02:00 PM - 03:20 PM,MW,,"Meyers, J",AFRO 228,Hip Hop Music: History and Culture,3,"['USMC', 'HA']",data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/AFRO/228.html,2021,spring,AFRO,2021-sp,2021.0,Spring,AFRO,228.0,Hip Hop Music: History&Culture,ONL,0.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Meyers, John P",3.945,30.0
635,914275,914275,UNKNOWN,67034.0,Online,SPR,11:00 AM - 01:50 PM,M,,"Raquel, S",ADV 290,Special Topics in Advertising,1,[],data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/ADV/290.html,2021,spring,ADV,2021-sp,2021.0,Spring,ADV,290.0,Sports PR,ONL,0.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Raquel, Steve A",3.945,30.0
34131,947771,947771,UNKNOWN,72787.0,Online Lecture,LE2,11:00 AM - 11:50 AM,T,,"Gonzalez, M",EDUC 202,"Social Justice, School and Society",3,"['HA', 'AC']",data/courses/courses.illinois.edu/cisapp/explorer/schedule/2021/spring/EDUC/202.html,2021,spring,EDUC,2021-sp,2021.0,Spring,EDUC,202.0,Social Justice Sch & Society,OD,4.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gonzalez, Monica",3.942,23.0
